Device,URL,Performance,Accessibility,Best-practices,SEO,PWA,First Contentful Paint,First Meaningful Paint,Speed Index,Estimated Input Latency,Time to Interactive,First CPU Idle,Eliminate render-blocking resources,Preconnect to required origins,Enable text compression,Server response times are low (TTFB),Defer offscreen images,Serve images in next-gen formats,Efficiently encode images,Properly size images,Minify JavaScript,Preload key requests,Remove unused CSS,Use video formats for animated content,Minify CSS,Minimize main-thread work,Avoid an excessive DOM size,Serve static assets with an efficient cache policy,Reduce JavaScript execution time,Minimize Critical Requests Depth,User Timing marks and measures,All text remains visible during webfont loads,Avoids enormous network payloads
desktop,https://resumegenius.com/how-to-write-a-resume/skills-section-writing-guide,0.78,0.78,0.93,0.9,0.56,1.9 s,2.6 s,3.7 s,20 ms,6.0 s,5.4 s,810 ms (Potential savings of),800 ms (Potential savings of),1,410 ms (Root document took),124 KB (Potential savings of),1,1,170 KB (Potential savings of),1,1,8 KB (Potential savings of),1,1,3.9 s,"2,110 nodes",49 resources found,0.9 s,7 chains found,-1,0,996 KB (Total size was)
desktop,https://resumegenius.com/how-to-write-a-resume,0.74,0.82,0.93,0.9,0.56,2.0 s,2.7 s,4.7 s,40 ms,5.7 s,5.3 s,700 ms (Potential savings of),580 ms (Potential savings of),1,820 ms (Root document took),120 KB (Potential savings of),1,1,23 KB (Potential savings of),1,1,8 KB (Potential savings of),1,1,4.5 s,"3,589 nodes",88 resources found,1.0 s,7 chains found,-1,0,"1,404 KB (Total size was)"
mobile,https://resumegenius.com/how-to-write-a-resume,0.73,0.82,0.93,0.9,0.54,2.4 s,2.4 s,4.9 s,50 ms,5.7 s,5.2 s,0 ms (Potential savings of),610 ms (Potential savings of),1,830 ms (Root document took),185 KB (Potential savings of),52 KB (Potential savings of),1,1,1,1,8 KB (Potential savings of),1,1,4.3 s,"3,589 nodes",86 resources found,1.2 s,7 chains found,-1,0,"1,518 KB (Total size was)"
mobile,https://www.hloom.com/cover-letters/,0.81,0.74,0.93,0.92,0.58,1.8 s,2.0 s,2.8 s,120 ms,6.1 s,5.7 s,410 ms (Potential savings of),320 ms (Potential savings of),1,60 ms (Root document took),17 KB (Potential savings of),1,1,1,1,1,49 KB (Potential savings of),1,1,6.7 s,"3,472 nodes",34 resources found,1.1 s,5 chains found,-1,0,507 KB (Total size was)
desktop,https://zety.com/resume-examples,0.86,0.76,1,1,0.72,1.1 s,2.6 s,2.5 s,10 ms,5.2 s,5.1 s,1,750 ms (Potential savings of),1,200 ms (Root document took),1,1,1,1,1,1,4 KB (Potential savings of),1,1,2.8 s,"1,830 nodes",7 resources found,0.8 s,4 chains found,-1,1,394 KB (Total size was)
mobile,https://resumegenius.com/resume-samples,0.78,0.83,0.93,0.95,0.58,2.4 s,2.4 s,3.6 s,60 ms,5.8 s,5.4 s,0 ms (Potential savings of),600 ms (Potential savings of),1,300 ms (Root document took),41 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,4.0 s,"2,809 nodes",41 resources found,1.4 s,7 chains found,-1,0,472 KB (Total size was)
mobile,https://resumegenius.com/how-to-write-a-resume,0.8,0.82,0.93,0.9,0.54,2.4 s,2.4 s,3.6 s,20 ms,5.6 s,5.1 s,0 ms (Potential savings of),670 ms (Potential savings of),1,300 ms (Root document took),196 KB (Potential savings of),52 KB (Potential savings of),1,1,1,1,8 KB (Potential savings of),1,1,3.4 s,"3,589 nodes",86 resources found,0.9 s,7 chains found,-1,0,"1,519 KB (Total size was)"
desktop,https://resumegenius.com/resume-samples,0.83,0.83,0.93,1,0.56,2.0 s,2.3 s,3.1 s,30 ms,5.6 s,5.3 s,0 ms (Potential savings of),660 ms (Potential savings of),1,310 ms (Root document took),41 KB (Potential savings of),1,1,4 KB (Potential savings of),1,1,9 KB (Potential savings of),1,1,3.3 s,"2,809 nodes",44 resources found,0.9 s,7 chains found,-1,0,505 KB (Total size was)
mobile,https://resumegenius.com/resume-samples,0.8,0.83,0.93,0.95,0.58,2.4 s,2.4 s,3.3 s,40 ms,5.6 s,5.3 s,40 ms (Potential savings of),610 ms (Potential savings of),1,280 ms (Root document took),41 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,3.6 s,"2,809 nodes",40 resources found,1.1 s,7 chains found,-1,0,472 KB (Total size was)
mobile,https://resumegenius.com/cover-letter-examples,0.82,0.83,0.93,0.95,0.58,2.0 s,2.1 s,3.1 s,40 ms,5.7 s,5.4 s,0 ms (Potential savings of),820 ms (Potential savings of),1,350 ms (Root document took),12 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,3.5 s,"2,485 nodes",36 resources found,1.1 s,6 chains found,-1,0,412 KB (Total size was)
