Device,URL,Performance,Accessibility,Best-practices,SEO,PWA,First Contentful Paint,First Meaningful Paint,Speed Index,Estimated Input Latency,Time to Interactive,First CPU Idle,Eliminate render-blocking resources,Preconnect to required origins,Enable text compression,Server response times are low (TTFB),Defer offscreen images,Serve images in next-gen formats,Efficiently encode images,Properly size images,Minify JavaScript,Preload key requests,Remove unused CSS,Use video formats for animated content,Minify CSS,Minimize main-thread work,Avoid an excessive DOM size,Serve static assets with an efficient cache policy,Reduce JavaScript execution time,Minimize Critical Requests Depth,User Timing marks and measures,All text remains visible during webfont loads,Avoids enormous network payloads
desktop,https://resumegenius.com/how-to-write-a-resume/skills-section-writing-guide,0.77,0.67,0.93,0.9,0.56,1.9 s,2.2 s,4.9 s,40 ms,5.4 s,5.0 s,690 ms (Potential savings of),780 ms (Potential savings of),1,"1,080 ms (Root document took)",57 KB (Potential savings of),1,1,170 KB (Potential savings of),2 KB (Potential savings of),1,10 KB (Potential savings of),1,1,4.2 s,"3,326 nodes",71 resources found,1.1 s,7 chains found,-1,0,"1,052 KB (Total size was)"
mobile,https://www.hloom.com/cover-letters/,0.69,0.59,0.93,0.92,0.58,2.1 s,2.2 s,3.4 s,100 ms,7.9 s,7.4 s,770 ms (Potential savings of),610 ms (Potential savings of),1,100 ms (Root document took),17 KB (Potential savings of),1,1,1,1,1,64 KB (Potential savings of),1,1,7.0 s,"3,510 nodes",38 resources found,1.9 s,5 chains found,7 user timings,0,698 KB (Total size was)
